ID_Spec,Catalogue Number,AccName,TreeName2,Order,Family,Genus,SO,EF,SpeLab,DepthMin,DepthMax,DepthAve,IUCN,DepthCat3,Mov
'Pseudoraja fischeri USNMRAD 285422.jpg',USNM 285422 ,Pseudoraja fischeri ,Pseudoraja_fischeri,Rajiformes,Arhynchobatidae,Pseudoraja,Bat,Extant,Psraj_fis,412,576,494,LC,Deep,Undul
'Pteroplatea bimaculata BMNH 19254233.jpg',NHMUK ZOO 1925.4.23.3,Gymnura japonica,Gymnura_japonica,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_jap,0,27,13.5,VU,Shelf,Oscil
'Pteroplatea rava SU 11587.jpg',CAS-SU(ICH) 11587 ,Gymnura marmorata ,Gymnura_marmorata,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_mar,1,94,47.5,NT,Shelf,Oscil
'Pteroplatea zonura BMNH 19097123033.jpg',NHMUK ZOO 1909.7.12.30-33,Gymnura zonurus ,Gymnura_zonura,Myliobatiformes,Gymnuridae,Gymnura,Bat,Extant,Gymnu_zon,28,37,32.5,EN,Reef,Oscil
'Raia albolinea BMNH 19357144.jpg',NHMUK ZOO 1935.7.14.4,Rajella caudaspinosa ,Rajella_caudaspinosa,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_cau,102,1098,600,LC,Deep,Undul
'Raia melitensis BMNH 192612202.jpg',NHMUK ZOO 1926.12.20.2,Leucoraja melitensis ,Leucoraja_melitensis,Rajiformes,Rajidae,Leucoraja,Bat,Extant,Leuco_mel,60,800,430,CR,Deep,Undul
'Raia parcomaculata BMNH 19357141.jpg',NHMUK ZOO 1935.7.14.1,Cruriraja parcomaculata ,Cruriraja_parcomaculata,Rajiformes,Gurgesiellidae,Cruriraja,Bat,Extant,Cruri_par,150,620,385,LC,Deep,Undul
'Raja (atlantoraja) cyclophora MNHN 1992-1313.jpg',MNHN-IC-1992-1313 ,Atlantoraja cyclophora ,Atlantoraja_cyclophora,Rajiformes,Arhynchobatidae,Atlantoraja,Bat,Extant,Atlan_cyc,100,300,200,EN,Shelf,Undul
'Raja aguja USNMRAD 109913 001.jpg',USNM RAD 109913 ,Bathyraja aguja ,Bathyraja_aguja,Rajiformes,Arhynchobatidae,Bathyraja,Bat,Extant,Bathy_agu,650,980,815,LC,Deep,Undul
'Raja atriventralis USNMRAD 109914 001.jpg',USNM RAD 109914 ,Okamejei kenojei ,Okamejei_kenojei,Rajiformes,Rajidae,Okamejei,Bat,Extant,Okame_ken,20,230,125,VU,Shelf,Undul
'Raja bigelowi USNMRAD 109916 001.jpg',USNM RAD 109916 ,Rajella bigelowi ,Rajella_bigelowi,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_big,650,4156,2403,LC,Deep,Undul
'Raja binoculata USNMRAD 203500.jpg',USNM 203500 ,Beringraja binoculata ,Beringraja_binoculata,Rajiformes,Rajidae,Beringraja,Bat,Extant,Berin_bin,3,800,401.5,LC,Deep,Undul
'Raja clarkii USNMRAD 156712.jpg',USNM 156712 ,Dactylobatus clarkii ,Dactylobatus_clarkii,Rajiformes,Rajidae,Dactylobatus,Bat,Extant,Dacty_cla,475,1000,737.5,LC,Deep,Undul
'Raja clavata BMNH 196351434-361.jpg',NHMUK ZOO 1963.5.14.34-36,Raja clavata ,Raja_clavata,Rajiformes,Rajidae,Raja,Bat,Extant,Raja_clav,5,1020,512.5,NT,Deep,Undul
'Raja eisenhardti NCat09.jpg',CAS-ICH 86817,Rajella eisenhardti,Rajella_eisenhardti,Rajiformes,Rajidae,Rajella,Bat,Extant,Rajel_eis,757,907,832,LC,Deep,Undul
'Raja equatorialis USNMRAD 109919 002.jpg',USNM RAD 109919 ,Rostroraja equatorialis ,Raja_equatorialis,Rajiformes,Rajidae,Rostroraja,Bat,Extant,Rostr_equ,20,200,110,DD,Shelf,Undul
'Raja floridana USNMRAD 109920-002.jpg',USNM RAD 109920 ,Dipturus teevani ,Dipturus_teevani,Rajiformes,Rajidae,Dipturus,Bat,Extant,Diptu_tee,310,1900,1105,LC,Deep,Undul
