AccName,TreeName2,Order,OrderFos,Family,Genus,SO,EF,SpeLab,DepthCat3,Mov
Pseudobatos percellens ,Rhinobatos_percellens,Rhinopristiformes,Rhinopristiformes,Rhinobatidae,Pseudobatos,Bat,Extant,Psbat_per,Shelf,AxUnd
Rhinobatos rhinobatos ,Rhinobatos_rhinobatos,Rhinopristiformes,Rhinopristiformes,Rhinobatidae,Rhinobatos,Bat,Extant,Rhbat_rhi,Shelf,AxUnd
Rhinobatos whitfieldy,Rhinobatos_whitfieldy,CrRhin,Rhinopristiformes,,Rhinobatos,Bat,Fossil,Rhbat_whi,Shelf,AxUnd
Rhinobatos hakelensis,Rhinobatus_haeckelensis,CrRhin,Rhinopristiformes,,Rhinobatos,Bat,Fossil,Rhbat_hak,Shelf,AxUnd
Rhinobatus latus,Rhinobatus_latus,CrRhin,Rhinopristiformes,,Rhinobatos,Bat,Fossil,Rhbat_lat,Shelf,AxUnd
Rhinoptera bonasus,Rhinoptera_bonasus,Myliobatiformes,Myliobatiformes,Rhinopteridae,Rhinoptera,Bat,Extant,Rhino_bon,Shelf,Oscil
Rhinoptera brasiliensis ,Rhinoptera_brasiliensis,Myliobatiformes,Myliobatiformes,Rhinopteridae,Rhinoptera,Bat,Extant,Rhpte_bra,Shelf,Oscil
Bathyraja taranetzi ,Rhinoraja_taranetzi,Rajiformes,Rajiformes,Arhynchobatidae,Bathyraja,Bat,Extant,Bathy_tar,Deep,Undul
Rhombopterygia rajoides,Rhombopterygia_rajoides,CrRhin,Rhinopristiformes,,Rhombopterygia,Bat,Fossil,Rhomb_raj,Shelf,AxUnd
Rhynchobatus australiae ,Rhynchobatus_australiae,Rhinopristiformes,Rhinopristiformes,Rhinidae,Rhynchobatus,Bat,Extant,Rhync_aus,Reef,AxUnd
Rhynchobatus djiddensis ,Rhynchobatus_djiddensis,Rhinopristiformes,Rhinopristiformes,Rhinidae,Rhynchobatus,Bat,Extant,Rhync_dji,Reef,AxUnd
Rhynchobatus springeri ,Rhynchobatus_springeri,Rhinopristiformes,Rhinopristiformes,Rhinidae,Rhynchobatus,Bat,Extant,Rhync_spr,Shelf,AxUnd
Sclerorhynchus atavus,Sclerorhynchus_atavus,CrScle,Schlerorhynch,,Sclerorhynchus,Bat,Fossil,Scler_ata,Shelf,AxUnd
Sinobatis borneensis,Sinobatis_borneensis,Rajiformes,Rajiformes,Anacanthobatidae,Sinobatis,Bat,Extant,Sinob_bor,Deep,Undul
Sinobatis melanosoma,Sinobatis_melanosoma,Rajiformes,Rajiformes,Anacanthobatidae,Sinobatis,Bat,Extant,Sinob_mel,Deep,Undul
Spathobatis bugesiacus,Spathobatus,JrBat,JurBatoid,,Spathobatis,Bat,Fossil,Spath_bug,Shelf,AxUnd
Squatina africana,Squatina_africana,Squatiniformes,Squatiniformes,Squatinidae,Squatina,Sel,Extant,Squat_afr,Shelf,AxUnd
Squatina armata,Squatina_armata,Squatiniformes,Squatiniformes,Squatinidae,Squatina,Sel,Extant,Squat_arm,Shelf,AxUnd
Squatina californica,Squatina_californica,Squatiniformes,Squatiniformes,Squatinidae,Squatina,Sel,Extant,Squat_cal,Shelf,AxUnd
Squatina dumeril,Squatina_dumeril,Squatiniformes,Squatiniformes,Squatinidae,Squatina,Sel,Extant,Squat_dum,Deep,AxUnd
Squatina nebulosa,Squatina_nebulosa,Squatiniformes,Squatiniformes,Squatinidae,Squatina,Sel,Extant,Squat_neb,Shelf,AxUnd
Squatina squatina,Squatina_squatina,Squatiniformes,Squatiniformes,Squatinidae,Squatina,Sel,Extant,Squat_squ,Shelf,AxUnd
Stahlraja sertanensis ,Stahlraja_sertanensis,CrRhin,Rhinopristiformes,,Stahlraja,Bat,Fossil,Stahl_ser,Shelf,AxUnd
Sympterygia acuta,Sympterygia_acuta,Rajiformes,Rajiformes,Arhynchobatidae,Sympterygia,Bat,Extant,Sympt_acu,Shelf,Undul
Taeniura lymma ,Taeniura_lymma,Myliobatiformes,Myliobatiformes,Dasyatidae,Taeniura,Bat,Extant,Taeni_lym,Reef,Undul
